Employee ID,Project ID,Progress
3309055,5,0.98
3281684,5,0.18
3135874,5,0.52
2692512,5,0.40
2566964,5,0.31
2529963,5,0.64
2428265,5,0.48
2367144,5,0.58
2334511,5,0.10
2325975,5,0.81
2272879,5,0.42
2225436,5,0.36
2155245,5,0.53
2029735,5,0.53
1998306,5,0.48
1984801,5,0.10
1924769,5,0.18
1761724,5,0.96
1761576,5,0.60
1725254,5,1.00
1718334,5,0.47
1628671,5,0.73
9957619,6,0.61
9909961,6,0.48
9774465,6,0.88
9709432,6,0.29
9667446,6,0.08
9616578,6,0.14
9514105,6,0.43
9408198,6,0.18
9407050,6,0.35
9398948,6,0.98
9346629,6,0.73
9255910,6,0.66
9163402,6,0.43
9090868,6,0.06
9079699,6,0.05
9062179,6,0.43
8808901,6,0.70
8747278,6,0.19
8718562,6,0.15
8641126,6,0.36
8235601,6,0.39
8155151,6,0.13
8105044,6,0.74
7969078,6,0.31
7856895,6,0.61
7844817,6,0.03
7717106,6,0.20
7563199,6,0.36
7530062,6,0.96
7443055,6,0.03
7436627,6,0.08
7398713,6,0.11
7314792,6,0.01
7285532,6,0.32
7217858,6,0.27
7174881,6,0.97
7146845,6,0.84
7030187,6,0.63
6845848,6,0.38
6834568,6,0.83
6760807,6,0.91
6711937,6,0.42
6585956,6,0.32
6549836,6,0.43
6519767,6,0.89
6509957,6,0.24
6366147,6,0.12
6355045,6,0.83
6203402,6,0.77
6145818,6,0.55
6108980,6,0.66
6077237,6,0.76
6025155,6,0.94
5951415,6,0.07
5652608,6,0.81
5640864,6,0.18
5476682,6,0.69
5402266,6,0.62
5398538,6,0.80
5376277,6,0.98
5365995,6,0.25
5174757,6,0.30
4716542,6,0.42
4674920,6,0.69
4624813,6,0.25
4466091,6,0.26
4454499,6,0.50
4302819,6,0.57
4178872,6,0.50
4124598,6,0.98
4121504,6,0.21
4023411,6,0.88
3983090,6,0.13
3763980,6,0.37
3696575,6,0.88
3649486,6,0.61
3521334,6,0.87
3511711,6,0.16
3424867,6,0.54
3338492,6,0.99
3296652,6,0.49
3124140,6,0.14
2775501,6,0.16
2548361,6,0.65
2536177,6,0.44
2520095,6,0.51
2512819,6,0.19
2462509,6,0.20
2351651,6,0.90
2321464,6,0.15
2138529,6,0.58
1984602,6,0.41
1896473,6,0.94
1782866,6,0.30
1718860,6,0.41
1584241,6,0.15
1500276,6,0.29
1472126,6,0.44
1416586,6,0.83
1328009,6,0.68
